sp	ssp	fi	en
Accipiter brevipes	Accipiter brevipes 	sirovarpushaukka	Levant Sparrowhawk
Accipiter gentilis	Accipiter gentilis arrigonii 	kanahaukka	Northern Goshawk
Accipiter gentilis	Accipiter gentilis gentilis 	kanahaukka	Northern Goshawk
Accipiter nisus	Accipiter nisus nisus 	varpushaukka	Eurasian Sparrowhawk
Acridotheres cristatellus	Acridotheres cristatellus 	riisimaina	Crested Myna
Acrocephalus agricola	Acrocephalus agricola 	kenttäkerttunen	Paddyfield Warbler
Acrocephalus arundinaceus	Acrocephalus arundinaceus 	rastaskerttunen	Great Reed Warbler
Acrocephalus dumetorum	Acrocephalus dumetorum 	viitakerttunen	Blyth’s Reed Warbler
Acrocephalus melanopogon	Acrocephalus melanopogon 	osmankäämikerttunen	Moustached Warbler
Acrocephalus paludicola	Acrocephalus paludicola 	sarakerttunen	Aquatic Warbler
Acrocephalus palustris	Acrocephalus palustris 	luhtakerttunen	Marsh Warbler
Acrocephalus schoenobaenus	Acrocephalus schoenobaenus 	ruokokerttunen	Sedge Warbler
Acrocephalus scirpaceus	Acrocephalus scirpaceus 	rytikerttunen	Eurasian Reed Warbler
Actitis hypoleucos	Actitis hypoleucos 	rantasipi	Common Sandpiper
Aegithalos caudatus	Aegithalos caudatus 	pyrstötiainen	Long-tailed Tit
Aegolius funereus	Aegolius funereus 	helmipöllö	Tengmalm’s Owl/Boreal Owl
Aegypius monachus	Aegypius monachus 	munkkikorppikotka	Cinereous Vulture
Agapornis roseicollis	Agapornis roseicollis 	ruusukaijanen	Rosy-faced Lovebird
Aix galericulata	Aix galericulata 	mandariinisorsa	Mandarin Duck
Aix sponsa	Aix sponsa 	morsiosorsa	Wood Duck
Alauda arvensis	Alauda arvensis 	kiuru	Eurasian Skylark
Alca torda	Alca torda 	ruokki	Razorbill
Alcedo atthis	Alcedo atthis 	kuningaskalastaja	Common Kingfisher
Alectoris barbara	Alectoris barbara 	kalliopyy	Barbary Partridge
